_link,note,int_st,int_t_ele,int_f_elet,int_dt_ele,int_l_terr,int_area,int_desc_reg,int_cod_reg,int_desc_circ,int_cod_circ,int_desc_prov,int_cod_prov,int_desc_com,int_cod_com
64,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,GENOVA,34,GENOVA,34,VALBREVENNA,650
65,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,GENOVA,34,GENOVA,34,VOBBIA,660
66,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,GENOVA,34,GENOVA,34,ZOAGLI,670
67,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,AIROLE,10
68,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,APRICALE,20
69,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,AQUILA D'ARROSCIA,30
70,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,ARMO,40
71,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,AURIGO,41
72,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,BADALUCCO,50
73,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,BAJARDO,60
74,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,BORDIGHERA,70
75,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,BORGHETTO D'ARROSCIA,80
76,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,BORGOMARO,90
77,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,CAMPOROSSO,100
78,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,CARAVONICA,110
79,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,CASTELLARO,130
80,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,CASTEL VITTORIO,140
81,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,CERIANA,150
82,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,CERVO,160
83,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,CESIO,170
84,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,CHIUSANICO,180
85,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,CHIUSAVECCHIA,190
86,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,CIPRESSA,200
87,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,CIVEZZA,210
88,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,COSIO D'ARROSCIA,220
89,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,COSTARAINERA,221
90,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,DIANO ARENTINO,230
91,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,DIANO CASTELLO,240
92,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,DIANO MARINA,250
93,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,DIANO SAN PIETRO,260
94,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,DOLCEACQUA,270
95,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,DOLCEDO,280
96,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,IMPERIA,290
97,,ESERCIZIO,Regionali Speciali,PREFERENZE,20241027000000,COMUNE,I,LIGURIA,7,IMPERIA,37,IMPERIA,37,ISOLABONA,300
