_link,_link_main,cogn,nome,a_nome,d_nasc,l_nasc,pos,desc_lis_r,img_lis_r,voti,perc,tot_vot_lis,perc_lis
19.cand.5,19,MORRA,NICOLA,,19630705000000,GENOVA,7,,,2,0.37,4,0.79
19.cand.6,19,FELICE,DAVIDE,,19871129000000,BRESCIA,2,,,1,0.19,1,0.20
19.cand.7,19,ROLLANDO,NICOLA,,19600907000000,SESTRI LEVANTE (GE),5,,,1,0.19,1,0.20
19.cand.8,19,ROSSON,ALESSANDRO,,19670421000000,LEVANTO (SP),1,,,0,0,0,0
20.cand.0,20,ORLANDO,ANDREA,,19690208000000,LA SPEZIA,9,,,267,49.35,248,50.41
20.cand.1,20,BUCCI,MARCO,,19591031000000,GENOVA,8,,,248,45.84,221,44.92
20.cand.2,20,TOSCANO,FRANCESCO,,19790528000000,GIOIA TAURO (RC),3,,,9,1.66,9,1.83
20.cand.3,20,ROLLANDO,NICOLA,,19600907000000,SESTRI LEVANTE (GE),5,,,7,1.29,7,1.42
20.cand.4,20,CELLA,MARIA ANTONIETTA,,19641025000000,SANTO STEFANO D'AVETO (GE),6,,,5,0.92,2,0.41
20.cand.5,20,MORRA,NICOLA,,19630705000000,GENOVA,7,,,4,0.74,4,0.81
20.cand.6,20,ROSSON,ALESSANDRO,,19670421000000,LEVANTO (SP),1,,,1,0.18,1,0.20
20.cand.7,20,FELICE,DAVIDE,,19871129000000,BRESCIA,2,,,0,0,0,0
20.cand.8,20,FERRANDO,MARCO GIUSEPPE,,19540718000000,GENOVA,4,,,0,0,0,0
21.cand.0,21,BUCCI,MARCO,,19591031000000,GENOVA,8,,,126,55.75,122,57.01
21.cand.1,21,ORLANDO,ANDREA,,19690208000000,LA SPEZIA,9,,,81,35.84,76,35.51
21.cand.2,21,CELLA,MARIA ANTONIETTA,,19641025000000,SANTO STEFANO D'AVETO (GE),6,,,14,6.19,12,5.61
21.cand.3,21,TOSCANO,FRANCESCO,,19790528000000,GIOIA TAURO (RC),3,,,2,0.88,1,0.47
21.cand.4,21,FERRANDO,MARCO GIUSEPPE,,19540718000000,GENOVA,4,,,1,0.44,1,0.47
21.cand.5,21,ROLLANDO,NICOLA,,19600907000000,SESTRI LEVANTE (GE),5,,,1,0.44,2,0.93
21.cand.6,21,MORRA,NICOLA,,19630705000000,GENOVA,7,,,1,0.44,0,0
21.cand.7,21,ROSSON,ALESSANDRO,,19670421000000,LEVANTO (SP),1,,,0,0,0,0
21.cand.8,21,FELICE,DAVIDE,,19871129000000,BRESCIA,2,,,0,0,0,0
22.cand.0,22,BUCCI,MARCO,,19591031000000,GENOVA,8,,,112,52.83,108,53.73
22.cand.1,22,ORLANDO,ANDREA,,19690208000000,LA SPEZIA,9,,,71,33.49,69,34.33
22.cand.2,22,CELLA,MARIA ANTONIETTA,,19641025000000,SANTO STEFANO D'AVETO (GE),6,,,18,8.49,16,7.96
22.cand.3,22,ROLLANDO,NICOLA,,19600907000000,SESTRI LEVANTE (GE),5,,,5,2.36,3,1.49
22.cand.4,22,TOSCANO,FRANCESCO,,19790528000000,GIOIA TAURO (RC),3,,,2,0.94,2,1.00
22.cand.5,22,MORRA,NICOLA,,19630705000000,GENOVA,7,,,2,0.94,2,1.00
