minint_elettorale,_link,note,int_st,int_t_ele,int_f_elet,int_dt_ele,int_l_terr,int_area,int_desc_com,int_cod_com,int_desc_prov,int_cod_prov,int_ele_m,int_ele_f,int_ele_t,int_vot_m,int_vot_f,int_vot_t,int_perc_vot,int_sz_pres,int_sz_cons,int_sz_tot,int_fine_rip,int_sk_bianche,int_sk_nulle,int_sk_contestate,int_tot_vot_cand,int_tot_vot_lis,int_non_valid,int_dt_agg,int_data_prec_elez,int_reg_sto,int_prov_sto,int_comu_sto,int_circ_sto,int_tipo_tras,com_istat_code
1070740230,187,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,CENGIO,230,SAVONA,74,1346,1444,2790,0,0,0,0,0,0,4,N,0,0,0,0,0,,,20200920000000,7,74,230,74,SZ,009023
1070740240,188,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,CERIALE,240,SAVONA,74,2206,2403,4609,0,0,0,0,1,1,5,N,0,0,0,345,328,,20241028173230,20200920000000,7,74,240,74,SZ,009024
1070740250,189,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,CISANO SUL NEVA,250,SAVONA,74,862,920,1782,0,0,0,0,0,0,2,N,0,0,0,0,0,,,20200920000000,7,74,250,74,SZ,009025
1070740260,190,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,COSSERIA,260,SAVONA,74,539,546,1085,0,0,0,0,0,0,1,N,0,0,0,0,0,,,20200920000000,7,74,260,74,SZ,009026
1070740270,191,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,DEGO,270,SAVONA,74,1180,1288,2468,315,283,598,24.23,2,2,2,N,8,15,0,575,544,,20241028172946,20200920000000,7,74,270,74,SZ,009027
1070740280,192,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,ERLI,280,SAVONA,74,156,148,304,0,0,0,0,0,0,1,N,0,0,0,0,0,,,20200920000000,7,74,280,74,SZ,009028
1070740290,193,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,FINALE LIGURE,290,SAVONA,74,5077,5544,10621,0,0,0,0,5,5,13,N,0,0,0,1765,1496,,20241028175646,20200920000000,7,74,290,74,SZ,009029
1070740300,194,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,GARLENDA,300,SAVONA,74,576,593,1169,0,0,0,0,0,0,1,N,0,0,0,0,0,,,20200920000000,7,74,300,74,SZ,009030
1070740310,195,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,GIUSTENICE,310,SAVONA,74,457,451,908,207,224,431,47.47,1,1,1,N,7,11,0,413,390,,20241028172619,20200920000000,7,74,310,74,SZ,009031
1070740320,196,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,GIUSVALLA,320,SAVONA,74,426,466,892,0,0,0,0,0,0,1,N,0,0,0,0,0,,,20200920000000,7,74,320,74,SZ,009032
1070740330,197,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,LAIGUEGLIA,330,SAVONA,74,755,805,1560,0,0,0,0,0,0,2,N,0,0,0,0,0,,,20200920000000,7,74,330,74,SZ,009033
1070740340,198,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,LOANO,340,SAVONA,74,4375,5022,9397,0,0,0,0,7,7,10,N,0,0,0,2814,2662,,20241028175653,20200920000000,7,74,340,74,SZ,009034
1070740350,199,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,MAGLIOLO,350,SAVONA,74,493,503,996,187,187,374,37.55,1,1,1,N,1,10,0,363,348,,20241028175637,20200920000000,7,74,350,74,SZ,009035
1070740360,200,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,MALLARE,360,SAVONA,74,569,593,1162,0,0,0,0,0,0,1,N,0,0,0,0,0,,,20200920000000,7,74,360,74,SZ,009036
1070740370,201,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,MASSIMINO,370,SAVONA,74,48,54,102,27,26,53,51.96,1,1,1,N,0,5,0,48,47,,20241028162143,20200920000000,7,74,370,74,SZ,009037
