_link_cand,_link,_link_main,pos,desc_lis_c,img_lis_c,voti,perc,cogn,nome,com_istat_code
2.cand.1,2.cand.1.liste.5,2,6,LIGURI A TESTA ALTA ORLANDO PRESIDENTE,7-20241027000000-6-034.png,9,1.02,ORLANDO,ANDREA,010003
2.cand.2,2.cand.2.liste.0,2,7,PER L'ALTERNATIVA - POTERE AL POPOLO! - PCI - RIFONDAZIONE PARTITO COMUNISTA SINISTRA EUROPEA,7-20241027000000-7-034.png,10,1.13,ROLLANDO,NICOLA,010003
2.cand.7,2.cand.7.liste.0,2,8,INDIPENDENZA! ALEMANNO PER ROSSON,7-20241027000000-8-034.png,2,0.23,ROSSON,ALESSANDRO,010003
2.cand.4,2.cand.4.liste.0,2,9,DEMOCRAZIA SOVRANA POPOLARE,7-20241027000000-9-034.png,6,0.68,TOSCANO,FRANCESCO,010003
2.cand.0,2.cand.0.liste.6,2,10,ALTERNATIVA POPOLARE CON BANDECCHI PER BUCCI PPE,7-20241027000000-10-034.png,0,0,BUCCI,MARCO,010003
2.cand.1,2.cand.1.liste.1,2,11,LISTA ANDREA ORLANDO PRESIDENTE,7-20241027000000-11-034.png,73,8.24,ORLANDO,ANDREA,010003
2.cand.3,2.cand.3.liste.0,2,12,UNITI PER LA COSTITUZIONE,7-20241027000000-12-034.png,10,1.13,MORRA,NICOLA,010003
2.cand.0,2.cand.0.liste.5,2,13,BUCCI LIBERTAS UDC,7-20241027000000-13-034.png,9,1.02,BUCCI,MARCO,010003
2.cand.0,2.cand.0.liste.1,2,14,LEGA LIGURIA BUCCI PRESIDENTE,7-20241027000000-14-034.png,91,10.27,BUCCI,MARCO,010003
2.cand.0,2.cand.0.liste.4,2,15,FORZA ITALIA BERLUSCONI BUCCI PRESIDENTE PPE,7-20241027000000-15-034.png,32,3.61,BUCCI,MARCO,010003
2.cand.1,2.cand.1.liste.3,2,16,ALLEANZA VERDI E SINISTRA - LISTA SANSA - POSSIBILE - EUROPA VERDE - SINISTRA ITALIANA,7-20241027000000-16-034.png,36,4.06,ORLANDO,ANDREA,010003
2.cand.1,2.cand.1.liste.4,2,17,PATTO CIVICO E RIFORMISTA PER ORLANDO - AZIONE CON CALENDA - PRI - REPUBBLICANI EUROPEI - PER - ALLEANZA CIVICA LIGURIA,7-20241027000000-17-034.png,21,2.37,ORLANDO,ANDREA,010003
2.cand.6,2.cand.6.liste.0,2,18,FORZA DEL POPOLO,7-20241027000000-18-034.png,3,0.34,FELICE,DAVIDE,010003
2.cand.8,2.cand.8.liste.0,2,19,PARTITO POPOLARE DEL NORD AUTONOMIA E LIBERTA',7-20241027000000-19-034.png,2,0.23,CELLA,MARIA ANTONIETTA,010003
2.cand.5,2.cand.5.liste.0,2,20,PARTITO COMUNISTA DEI LAVORATORI,7-20241027000000-20-034.png,5,0.56,FERRANDO,MARCO GIUSEPPE,010003
3.cand.1,3.cand.1.liste.1,3,1,BUCCI PRESIDENTE VINCE LIGURIA,7-20241027000000-1-034.png,206,10.24,BUCCI,MARCO,010004
3.cand.1,3.cand.1.liste.0,3,2,GIORGIA MELONI PER BUCCI PRESIDENTE FRATELLI D'ITALIA,7-20241027000000-2-034.png,261,12.97,BUCCI,MARCO,010004
3.cand.1,3.cand.1.liste.2,3,3,ORGOGLIO LIGURIA BUCCI PRESIDENTE,7-20241027000000-3-034.png,173,8.60,BUCCI,MARCO,010004
3.cand.0,3.cand.0.liste.4,3,4,MOVIMENTO 5 STELLE 2050,7-20241027000000-4-034.png,48,2.39,ORLANDO,ANDREA,010004
3.cand.0,3.cand.0.liste.0,3,5,PARTITO DEMOCRATICO ANDREA ORLANDO PRESIDENTE,7-20241027000000-5-034.png,610,30.32,ORLANDO,ANDREA,010004
3.cand.0,3.cand.0.liste.3,3,6,LIGURI A TESTA ALTA ORLANDO PRESIDENTE,7-20241027000000-6-034.png,56,2.78,ORLANDO,ANDREA,010004
3.cand.3,3.cand.3.liste.0,3,7,PER L'ALTERNATIVA - POTERE AL POPOLO! - PCI - RIFONDAZIONE PARTITO COMUNISTA SINISTRA EUROPEA,7-20241027000000-7-034.png,12,0.60,ROLLANDO,NICOLA,010004
3.cand.8,3.cand.8.liste.0,3,8,INDIPENDENZA! ALEMANNO PER ROSSON,7-20241027000000-8-034.png,1,0.05,ROSSON,ALESSANDRO,010004
