_link,_link_cand,_link_main,pos,desc_lis_c,img_lis_c,voti,perc
5.cand.5.liste.0,5.cand.5,5,19,PARTITO POPOLARE DEL NORD AUTONOMIA E LIBERTA',7-20241027000000-19-034.png,0,0
5.cand.6.liste.0,5.cand.6,5,12,UNITI PER LA COSTITUZIONE,7-20241027000000-12-034.png,0,0
5.cand.7.liste.0,5.cand.7,5,3,ORGOGLIO LIGURIA BUCCI PRESIDENTE,7-20241027000000-3-034.png,0,0
5.cand.7.liste.1,5.cand.7,5,1,BUCCI PRESIDENTE VINCE LIGURIA,7-20241027000000-1-034.png,0,0
5.cand.7.liste.2,5.cand.7,5,14,LEGA LIGURIA BUCCI PRESIDENTE,7-20241027000000-14-034.png,0,0
5.cand.7.liste.3,5.cand.7,5,13,BUCCI LIBERTAS UDC,7-20241027000000-13-034.png,0,0
5.cand.7.liste.4,5.cand.7,5,2,GIORGIA MELONI PER BUCCI PRESIDENTE FRATELLI D'ITALIA,7-20241027000000-2-034.png,0,0
5.cand.7.liste.5,5.cand.7,5,10,ALTERNATIVA POPOLARE CON BANDECCHI PER BUCCI PPE,7-20241027000000-10-034.png,0,0
5.cand.7.liste.6,5.cand.7,5,15,FORZA ITALIA BERLUSCONI BUCCI PRESIDENTE PPE,7-20241027000000-15-034.png,0,0
5.cand.8.liste.0,5.cand.8,5,17,PATTO CIVICO E RIFORMISTA PER ORLANDO - AZIONE CON CALENDA - PRI - REPUBBLICANI EUROPEI - PER - ALLEANZA CIVICA LIGURIA,7-20241027000000-17-034.png,0,0
5.cand.8.liste.1,5.cand.8,5,16,ALLEANZA VERDI E SINISTRA - LISTA SANSA - POSSIBILE - EUROPA VERDE - SINISTRA ITALIANA,7-20241027000000-16-034.png,0,0
5.cand.8.liste.2,5.cand.8,5,11,LISTA ANDREA ORLANDO PRESIDENTE,7-20241027000000-11-034.png,0,0
5.cand.8.liste.3,5.cand.8,5,5,PARTITO DEMOCRATICO ANDREA ORLANDO PRESIDENTE,7-20241027000000-5-034.png,0,0
5.cand.8.liste.4,5.cand.8,5,4,MOVIMENTO 5 STELLE 2050,7-20241027000000-4-034.png,0,0
5.cand.8.liste.5,5.cand.8,5,6,LIGURI A TESTA ALTA ORLANDO PRESIDENTE,7-20241027000000-6-034.png,0,0
6.cand.0.liste.0,6.cand.0,6,8,INDIPENDENZA! ALEMANNO PER ROSSON,7-20241027000000-8-034.png,0,0
6.cand.1.liste.0,6.cand.1,6,18,FORZA DEL POPOLO,7-20241027000000-18-034.png,0,0
6.cand.2.liste.0,6.cand.2,6,9,DEMOCRAZIA SOVRANA POPOLARE,7-20241027000000-9-034.png,0,0
6.cand.3.liste.0,6.cand.3,6,20,PARTITO COMUNISTA DEI LAVORATORI,7-20241027000000-20-034.png,0,0
6.cand.4.liste.0,6.cand.4,6,7,PER L'ALTERNATIVA - POTERE AL POPOLO! - PCI - RIFONDAZIONE PARTITO COMUNISTA SINISTRA EUROPEA,7-20241027000000-7-034.png,0,0
6.cand.5.liste.0,6.cand.5,6,19,PARTITO POPOLARE DEL NORD AUTONOMIA E LIBERTA',7-20241027000000-19-034.png,0,0
6.cand.6.liste.0,6.cand.6,6,12,UNITI PER LA COSTITUZIONE,7-20241027000000-12-034.png,0,0
6.cand.7.liste.0,6.cand.7,6,3,ORGOGLIO LIGURIA BUCCI PRESIDENTE,7-20241027000000-3-034.png,0,0
6.cand.7.liste.1,6.cand.7,6,1,BUCCI PRESIDENTE VINCE LIGURIA,7-20241027000000-1-034.png,0,0
6.cand.7.liste.2,6.cand.7,6,14,LEGA LIGURIA BUCCI PRESIDENTE,7-20241027000000-14-034.png,0,0
6.cand.7.liste.3,6.cand.7,6,13,BUCCI LIBERTAS UDC,7-20241027000000-13-034.png,0,0
6.cand.7.liste.4,6.cand.7,6,2,GIORGIA MELONI PER BUCCI PRESIDENTE FRATELLI D'ITALIA,7-20241027000000-2-034.png,0,0
6.cand.7.liste.5,6.cand.7,6,10,ALTERNATIVA POPOLARE CON BANDECCHI PER BUCCI PPE,7-20241027000000-10-034.png,0,0
6.cand.7.liste.6,6.cand.7,6,15,FORZA ITALIA BERLUSCONI BUCCI PRESIDENTE PPE,7-20241027000000-15-034.png,0,0
6.cand.8.liste.0,6.cand.8,6,17,PATTO CIVICO E RIFORMISTA PER ORLANDO - AZIONE CON CALENDA - PRI - REPUBBLICANI EUROPEI - PER - ALLEANZA CIVICA LIGURIA,7-20241027000000-17-034.png,0,0
6.cand.8.liste.1,6.cand.8,6,16,ALLEANZA VERDI E SINISTRA - LISTA SANSA - POSSIBILE - EUROPA VERDE - SINISTRA ITALIANA,7-20241027000000-16-034.png,0,0
6.cand.8.liste.2,6.cand.8,6,11,LISTA ANDREA ORLANDO PRESIDENTE,7-20241027000000-11-034.png,0,0
6.cand.8.liste.3,6.cand.8,6,5,PARTITO DEMOCRATICO ANDREA ORLANDO PRESIDENTE,7-20241027000000-5-034.png,0,0
6.cand.8.liste.4,6.cand.8,6,4,MOVIMENTO 5 STELLE 2050,7-20241027000000-4-034.png,0,0
