_link,note,int_st,int_t_ele,int_f_elet,int_dt_ele,int_l_terr,int_area,int_desc_com,int_cod_com,int_desc_prov,int_cod_prov,int_ele_m,int_ele_f,int_ele_t,int_vot_m,int_vot_f,int_vot_t,int_perc_vot,int_sz_pres,int_sz_cons,int_sz_tot,int_fine_rip,int_sk_bianche,int_sk_nulle,int_sk_contestate,int_tot_vot_cand,int_tot_vot_lis,int_non_valid,int_dt_agg,int_data_prec_elez,int_reg_sto,int_prov_sto,int_comu_sto,int_circ_sto,int_tipo_tras
40,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,NEIRONE,410,GENOVA,34,481,440,921,193,160,353,"38,33",2,2,2,N,3,4,0,346,332,,20241028181541,20200920000000,7,34,410,34,SZ
41,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,ORERO,420,GENOVA,34,266,259,525,0,0,0,0,0,0,1,N,0,0,0,0,0,,,20200920000000,7,34,420,34,SZ
42,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,PIEVE LIGURE,430,GENOVA,34,1394,1463,2857,0,0,0,0,0,0,3,N,0,0,0,0,0,,,20200920000000,7,34,430,34,SZ
43,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,PORTOFINO,440,GENOVA,34,413,428,841,0,0,0,0,0,0,1,N,0,0,0,0,0,,,20200920000000,7,34,440,34,SZ
44,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,PROPATA,450,GENOVA,34,85,77,162,31,23,54,"33,33",1,1,1,N,0,2,0,52,49,,20241028175554,20200920000000,7,34,450,34,SZ
45,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,RAPALLO,460,GENOVA,34,13941,15345,29286,0,0,0,0,29,29,32,N,0,0,0,9655,9118,,20241028190029,20200920000000,7,34,460,34,SZ
46,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,RECCO,470,GENOVA,34,4556,5031,9587,0,0,0,0,5,5,10,N,0,0,0,2084,1938,,20241028182807,20200920000000,7,34,470,34,SZ
47,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,REZZOAGLIO,480,GENOVA,34,384,381,765,201,180,381,"49,80",3,3,3,N,1,9,0,371,351,,20241028185057,20200920000000,7,34,480,34,SZ
48,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,RONCO SCRIVIA,490,GENOVA,34,1894,1951,3845,0,0,0,0,0,0,4,N,0,0,0,0,0,,,20200920000000,7,34,490,34,SZ
49,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,RONDANINA,500,GENOVA,34,42,29,71,17,9,26,"36,62",1,1,1,N,1,0,0,25,21,,20241028160350,20200920000000,7,34,500,34,SZ
50,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,ROSSIGLIONE,510,GENOVA,34,1085,1155,2240,0,0,0,0,2,2,3,N,0,0,0,839,811,,20241028184722,20200920000000,7,34,510,34,SZ
51,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,ROVEGNO,520,GENOVA,34,240,176,416,0,0,0,0,0,0,1,N,0,0,0,0,0,,,20200920000000,7,34,520,34,SZ
52,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,SAN COLOMBANO CERTENOLI,530,GENOVA,34,1453,1455,2908,0,0,0,0,1,1,3,N,0,0,0,109,108,,20241028174503,20200920000000,7,34,530,34,SZ
53,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,SANTA MARGHERITA LIGURE,540,GENOVA,34,4631,5173,9804,1756,1877,3633,"37,06",11,11,11,N,11,71,0,3551,3387,,20241028184017,20200920000000,7,34,540,34,SZ
54,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,SANT'OLCESE,550,GENOVA,34,2414,2471,4885,0,0,0,0,6,6,9,N,0,0,0,1892,1811,,20241028185147,20200920000000,7,34,550,34,SZ
55,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,SANTO STEFANO D'AVETO,560,GENOVA,34,474,439,913,0,0,0,0,1,1,2,N,0,0,0,181,180,,20241028175018,20200920000000,7,34,560,34,SZ
56,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,SAVIGNONE,570,GENOVA,34,1405,1422,2827,659,653,1312,"46,41",5,5,5,N,9,42,0,1261,1179,,20241028182343,20200920000000,7,34,570,34,SZ
57,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,SERRA RICCO',580,GENOVA,34,3432,3514,6946,0,0,0,0,1,1,8,N,0,0,0,214,201,,20241028173851,20200920000000,7,34,580,34,SZ
58,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,SESTRI LEVANTE,590,GENOVA,34,8147,8952,17099,0,0,0,0,20,20,23,N,0,0,0,6339,5977,,20241028185723,20200920000000,7,34,590,34,SZ
59,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,SORI,600,GENOVA,34,2227,2349,4576,0,0,0,0,2,2,4,N,0,0,0,873,568,,20241028185055,20200920000000,7,34,600,34,SZ
60,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,TIGLIETO,610,GENOVA,34,512,541,1053,144,108,252,"23,93",2,2,2,N,3,6,0,243,233,,20241028184653,20200920000000,7,34,610,34,SZ
61,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,TORRIGLIA,620,GENOVA,34,1098,1095,2193,0,0,0,0,0,0,3,N,0,0,0,0,0,,,20200920000000,7,34,620,34,SZ
62,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,TRIBOGNA,630,GENOVA,34,323,313,636,0,0,0,0,0,0,1,N,0,0,0,0,0,,,20200920000000,7,34,630,34,SZ
63,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,USCIO,640,GENOVA,34,938,955,1893,0,0,0,0,0,0,2,N,0,0,0,0,0,,,20200920000000,7,34,640,34,SZ
64,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,VALBREVENNA,650,GENOVA,34,469,394,863,0,0,0,0,0,0,1,N,0,0,0,0,0,,,20200920000000,7,34,650,34,SZ
65,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,VOBBIA,660,GENOVA,34,207,173,380,102,75,177,"46,58",1,1,1,N,3,1,0,173,166,,20241028182806,20200920000000,7,34,660,34,SZ
66,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,ZOAGLI,670,GENOVA,34,2035,2066,4101,0,0,0,0,1,1,4,N,0,0,0,368,358,,20241028183146,20200920000000,7,34,670,34,SZ
67,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,AIROLE,10,IMPERIA,37,147,115,262,79,72,151,"57,63",1,1,1,N,0,5,0,146,143,,20241028175958,20200920000000,7,37,10,37,SZ
68,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,APRICALE,20,IMPERIA,37,240,206,446,72,62,134,"30,04",1,1,1,N,1,0,0,133,119,,20241028180613,20200920000000,7,37,20,37,SZ
69,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,AQUILA D'ARROSCIA,30,IMPERIA,37,97,76,173,54,36,90,"52,02",1,1,1,N,1,2,0,87,87,,20241028170103,20200920000000,7,37,30,37,SZ
70,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,ARMO,40,IMPERIA,37,39,46,85,28,24,52,"61,18",1,1,1,N,0,2,0,50,50,,20241028163635,20200920000000,7,37,40,37,SZ
71,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,AURIGO,41,IMPERIA,37,138,133,271,81,80,161,"59,41",2,2,2,N,3,2,0,156,149,,20241028171951,20200920000000,7,37,41,37,SZ
72,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,BADALUCCO,50,IMPERIA,37,460,468,928,178,202,380,"40,95",2,2,2,N,2,9,0,369,355,,20241028190537,20200920000000,7,37,50,37,SZ
73,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,BAJARDO,60,IMPERIA,37,135,123,258,64,47,111,"43,02",1,1,1,N,1,2,0,108,104,,20241028190357,20200920000000,7,37,60,37,SZ
74,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,BORDIGHERA,70,IMPERIA,37,4400,4878,9278,0,0,0,0,0,0,10,N,0,0,0,0,0,,,20200920000000,7,37,70,37,SZ
75,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,BORGHETTO D'ARROSCIA,80,IMPERIA,37,179,139,318,70,59,129,"40,57",1,1,1,N,5,4,0,120,118,,20241028175516,20200920000000,7,37,80,37,SZ
76,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,BORGOMARO,90,IMPERIA,37,334,315,649,153,136,289,"44,53",3,3,3,N,3,13,0,273,258,,20241028175958,20200920000000,7,37,90,37,SZ
77,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,CAMPOROSSO,100,IMPERIA,37,2369,2398,4767,0,0,0,0,0,0,5,N,0,0,0,0,0,,,20200920000000,7,37,100,37,SZ
78,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,CARAVONICA,110,IMPERIA,37,105,81,186,74,56,130,"69,89",1,1,1,N,3,4,0,123,117,,20241028175438,20200920000000,7,37,110,37,SZ
79,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,CASTELLARO,130,IMPERIA,37,532,545,1077,0,0,0,0,0,0,1,N,0,0,0,0,0,,,20200920000000,7,37,130,37,SZ
80,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,CASTEL VITTORIO,140,IMPERIA,37,136,113,249,50,53,103,"41,37",1,1,1,N,2,3,0,98,96,,20241028182239,20200920000000,7,37,140,37,SZ
81,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,CERIANA,150,IMPERIA,37,484,424,908,142,126,268,"29,52",2,2,2,N,7,14,0,247,234,,20241028173413,20200920000000,7,37,150,37,SZ
82,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,CERVO,160,IMPERIA,37,494,526,1020,0,0,0,0,0,0,1,N,0,0,0,0,0,,,20200920000000,7,37,160,37,SZ
83,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,CESIO,170,IMPERIA,37,121,107,228,61,43,104,"45,61",1,1,1,N,0,6,0,98,95,,20241028180613,20200920000000,7,37,170,37,SZ
84,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,CHIUSANICO,180,IMPERIA,37,277,261,538,137,122,259,"48,14",3,3,3,N,1,9,0,249,232,,20241028171252,20200920000000,7,37,180,37,SZ
85,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,CHIUSAVECCHIA,190,IMPERIA,37,182,188,370,77,88,165,"44,59",1,1,1,N,2,11,0,152,146,,20241028171522,20200920000000,7,37,190,37,SZ
86,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,CIPRESSA,200,IMPERIA,37,489,496,985,0,0,0,0,0,0,1,N,0,0,0,0,0,,,20200920000000,7,37,200,37,SZ
87,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,CIVEZZA,210,IMPERIA,37,229,243,472,105,117,222,"47,03",1,1,1,N,1,3,0,218,208,,20241028180052,20200920000000,7,37,210,37,SZ
88,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,COSIO D'ARROSCIA,220,IMPERIA,37,69,83,152,51,50,101,"66,45",1,1,1,N,1,3,0,97,93,,20241028190325,20200920000000,7,37,220,37,SZ
89,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,COSTARAINERA,221,IMPERIA,37,318,331,649,155,163,318,"49,00",1,1,1,N,1,10,0,307,266,,20241028182241,20200920000000,7,37,221,37,SZ
90,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,DIANO ARENTINO,230,IMPERIA,37,334,300,634,100,111,211,"33,28",1,1,1,N,3,8,0,200,187,,20241028171248,20200920000000,7,37,230,37,SZ
