_link,note,int_st,int_t_ele,int_f_elet,int_dt_ele,int_l_terr,int_area,int_desc_com,int_cod_com,int_desc_prov,int_cod_prov,int_ele_m,int_ele_f,int_ele_t,int_vot_m,int_vot_f,int_vot_t,int_perc_vot,int_sz_pres,int_sz_cons,int_sz_tot,int_fine_rip,int_sk_bianche,int_sk_nulle,int_sk_contestate,int_tot_vot_cand,int_tot_vot_lis,int_non_valid,int_dt_agg,int_data_prec_elez,int_reg_sto,int_prov_sto,int_comu_sto,int_circ_sto,int_tipo_tras
218,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,ROCCAVIGNALE,540,SAVONA,74,446,482,928,160,174,334,"35,99",1,1,1,N,4,13,0,317,304,,20241028182338,20200920000000,7,74,540,74,SZ
219,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,SASSELLO,550,SAVONA,74,1104,1133,2237,0,0,0,0,2,2,4,N,0,0,0,129,124,,20241028171910,20200920000000,7,74,550,74,SZ
220,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,SAVONA,560,SAVONA,74,23214,26386,49600,0,0,0,0,31,31,61,N,0,0,0,10132,9430,,20241028183440,20200920000000,7,74,560,74,SZ
221,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,SPOTORNO,570,SAVONA,74,1554,1654,3208,0,0,0,0,2,2,4,N,0,0,0,599,549,,20241028190040,20200920000000,7,74,570,74,SZ
222,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,STELLA,580,SAVONA,74,1539,1505,3044,0,0,0,0,0,0,3,N,0,0,0,0,0,,,20200920000000,7,74,580,74,SZ
223,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,STELLANELLO,590,SAVONA,74,373,351,724,155,139,294,"40,61",1,1,1,N,0,7,0,287,270,,20241028173813,20200920000000,7,74,590,74,SZ
224,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,TESTICO,600,SAVONA,74,72,69,141,36,46,82,"58,16",1,1,1,N,2,4,0,76,74,,20241028174645,20200920000000,7,74,600,74,SZ
225,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,TOIRANO,610,SAVONA,74,1220,1243,2463,543,568,1111,"45,11",3,3,3,N,9,38,0,1064,992,,20241028172849,20200920000000,7,74,610,74,SZ
226,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,TOVO SAN GIACOMO,620,SAVONA,74,1158,1191,2349,0,0,0,0,1,1,3,N,0,0,0,362,345,,20241028183900,20200920000000,7,74,620,74,SZ
227,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,URBE,630,SAVONA,74,414,390,804,0,0,0,0,1,1,2,N,0,0,0,159,148,,20241028182539,20200920000000,7,74,630,74,SZ
228,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,VADO LIGURE,640,SAVONA,74,3461,3780,7241,1553,1679,3232,"44,63",8,8,8,N,24,119,0,3089,2898,,20241028190042,20200920000000,7,74,640,74,SZ
229,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,VARAZZE,650,SAVONA,74,5966,6278,12244,0,0,0,0,5,5,15,N,0,0,0,1125,1065,,20241028175432,20200920000000,7,74,650,74,SZ
230,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,VENDONE,660,SAVONA,74,165,155,320,89,72,161,"50,31",1,1,1,N,2,5,0,154,148,,20241028172307,20200920000000,7,74,660,74,SZ
231,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,VEZZI PORTIO,670,SAVONA,74,394,373,767,0,0,0,0,0,0,1,N,0,0,0,0,0,,,20200920000000,7,74,670,74,SZ
232,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,VILLANOVA D'ALBENGA,680,SAVONA,74,1180,1177,2357,0,0,0,0,0,0,3,N,0,0,0,0,0,,,20200920000000,7,74,680,74,SZ
233,,ESERCIZIO,Regionali Speciali,SCRUTINI,20241027000000,COMUNE,I,ZUCCARELLO,690,SAVONA,74,152,165,317,73,83,156,"49,21",1,1,1,N,1,7,0,148,148,,20241028172635,20200920000000,7,74,690,74,SZ
